value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen
p.t4c5d.ru,domain,2025-09-14 13:29:36,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
https://193.233.126.43/gateway/iug4o6dc.wsxon,url,2025-09-14 13:29:35,,win.rhadamanthys,botnet_cc,mazznrz,100,1,,,
au.d3g7t.ru,domain,2025-09-14 13:29:37,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
https://sngrlglpthi.mw/gateway/iug4o6dc.wsxon,url,2025-09-14 13:29:37,,win.rhadamanthys,botnet_cc,mazznrz,100,1,,,
https://dkqnkaqwyrf.ar/gateway/iesm4j25.s4pj7,url,2025-09-14 14:56:22,,win.rhadamanthys,botnet_cc,mazznrz,100,1,,,
104.243.46.66:1003,ip,2025-09-14 14:11:21,,win.asyncrat,botnet_cc,abuse_ch,75,1,,,
https://193.233.126.43/gateway/iesm4j25.s4pj7,url,2025-09-14 14:56:24,,win.rhadamanthys,botnet_cc,mazznrz,100,1,,,
https://193.23.216.48/gateway/iesm4j25.s4pj7,url,2025-09-14 14:56:23,,win.rhadamanthys,botnet_cc,mazznrz,100,1,,,
k.r3l1x.ru,domain,2025-09-14 14:56:26,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
bg.t4c5d.ru,domain,2025-09-14 14:56:24,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
ae.g7r7s.ru,domain,2025-09-14 14:56:27,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
bd.r3l1x.ru,domain,2025-09-14 14:56:26,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
az.g0s1f.ru,domain,2025-09-14 15:44:18,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
ah.w2r1k.ru,domain,2025-09-14 15:16:16,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
69.67.172.242:2404,ip,2025-09-14 16:02:05,2025-09-15 13:49:11,win.remcos,botnet_cc,DonPasci,100,1,,,
23.226.54.31:7001,ip,2025-09-14 16:01:48,2025-09-15 04:00:12,win.cobalt_strike,botnet_cc,DonPasci,100,1,,,
91.200.220.136:8080,ip,2025-09-14 16:02:31,2025-09-15 04:00:41,win.orcus_rat,botnet_cc,DonPasci,100,1,,,
jeu60.dedyn.io,domain,2025-09-14 16:02:29,2025-09-15 04:00:35,win.havoc,botnet_cc,DonPasci,100,1,,,
95.113.133.105:7443,ip,2025-09-14 16:02:26,2025-09-15 13:49:57,unknown,botnet_cc,DonPasci,100,1,,,
154.83.211.77:65503,ip,2025-09-14 16:02:32,2025-09-15 04:00:42,win.dcrat,botnet_cc,DonPasci,100,1,,,
137.220.154.120:8081,ip,2025-09-14 16:02:32,2025-09-15 04:00:42,win.dcrat,botnet_cc,DonPasci,100,1,,,
http://eyota.com.sg/a2z/panelnew/gate.php,url,2025-09-14 16:10:03,,win.pony,botnet_cc,abuse_ch,100,1,,,
g.x8q0h.ru,domain,2025-09-14 16:04:37,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
https://tra.amajed.com,url,2025-09-14 16:10:25,2025-09-14 20:10:25,win.vidar,botnet_cc,abuse_ch,75,1,,,
tra.amajed.com,domain,2025-09-14 16:10:25,2025-09-14 20:10:26,win.vidar,botnet_cc,abuse_ch,75,1,,,
https://tra.schermgebroken.nl,url,2025-09-14 16:10:26,2025-09-14 20:10:26,win.vidar,botnet_cc,abuse_ch,75,1,,,
tra.schermgebroken.nl,domain,2025-09-14 16:10:26,2025-09-14 20:10:26,win.vidar,botnet_cc,abuse_ch,75,1,,,
185.34.101.217:6000,ip,2025-09-14 16:31:12,,win.xworm,botnet_cc,abuse_ch,75,1,,,
l.r0z8r.ru,domain,2025-09-14 16:21:55,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
al.c0h9w.ru,domain,2025-09-14 16:45:51,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
ad.c0h9w.ru,domain,2025-09-14 16:36:42,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
d.b3x1p.ru,domain,2025-09-14 16:59:06,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
h.w2r1k.ru,domain,2025-09-14 16:56:02,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
101.32.182.151:3266,ip,2025-09-14 17:15:08,,win.valley_rat,botnet_cc,abuse_ch,100,1,,,
w.d3l4d.ru,domain,2025-09-14 17:13:24,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
ac.s7z7r.ru,domain,2025-09-14 17:20:59,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
s.n9t6m.ru,domain,2025-09-14 17:20:29,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
150.241.116.6:42873,ip,2025-09-14 17:30:09,,win.aurotun_stealer,botnet_cc,abuse_ch,100,1,,,
218.50.136.74:9999,ip,2025-09-14 18:01:52,,win.xworm,botnet_cc,DonPasci,100,1,,,
ay.c0h9w.ru,domain,2025-09-14 17:44:24,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
